ID,Season,Phylum,Class,Order,Family,Genus,TrophicSpecies,FunctionalGroup,TrophicGroup,InIntList,Abundance (ind/m3),Biomass (mg C/m3),BodyMass (g),BodySize (mm),GowthRate (mm/day),Zone,Reference_pres,Reference_pres_link,Reference_traits,Reference_traits_link,Observation
15,NA,NA,NA,NA,NA,NA,Iphimediidae,Amphipoda,Zooplankton,Yes,NA,NA,NA,45,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,Dauby_etal_2001,https://doi.org/10.1023/A:1017596120422,Aggregated: Iphimedia_multidentata & Pseudiphimediella_glabra
12,NA,NA,NA,NA,NA,NA,Polycheria_spp,Amphipoda,Zooplankton,Yes,NA,NA,NA,6,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,Aggregated: Polycheria_antarctica & P._similis
26,NA,NA,NA,NA,NA,NA,Stenothoidae,Amphipoda,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,"Aggregated: Thaumatelson_herdmani, Metopoides_longicornis, Probolisca_ovata & Torometopa_crassicornis"
13,NA,Arthropoda,Malacostraca,Amphipoda,Iphimediidae,Iphimedia,Iphimedia_multidentata,Amphipoda,Zooplankton,Yes,NA,NA,NA,45,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,Dauby_etal_2001,https://doi.org/10.1023/A:1017596120422,Collapsed as Iphimediidae
14,NA,Arthropoda,Malacostraca,Amphipoda,Iphimediidae,Pseudiphimediella,Pseudiphimediella_glabra,Amphipoda,Zooplankton,Yes,NA,NA,NA,45,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,Dauby_etal_2001,https://doi.org/10.1023/A:1017596120422,Collapsed as Iphimediidae
10,NA,Arthropoda,Malacostraca,Amphipoda,Dexaminidae,Polycheria,Polycheria_antarctica,Amphipoda,Zooplankton,Yes,NA,NA,NA,6,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,Dauby_etal_2001,https://doi.org/10.1023/A:1017596120422,Collapsed as Polycheria_spp
11,NA,Arthropoda,Malacostraca,Amphipoda,Dexaminidae,Polycheria,Polycheria_similis,Amphipoda,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,Collapsed as Polycheria_spp
22,NA,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,Thaumatelson,Thaumatelson_herdmani,Amphipoda,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,Collapsed as Stenothoidae
23,NA,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,Metopoides,Metopoides_longicornis,Amphipoda,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,Collapsed as Stenothoidae
24,NA,Arthropoda,Malacostraca,Amphipoda,Stenothoidae,Probolisca,Probolisca_ovata,Amphipoda,Zooplankton,Yes,NA,NA,NA,NA,NA,Meseta,Lopez-Gappa_etal_2006; Chiesa_pers.com.,https://doi.org/10.11646/ZOOTAXA.1342.1.1,,,Collapsed as Stenothoidae
